Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
Bowie   30.0000   50.7376   -135.8707
Cameroon   0.0000   4.1962   9.2636
Cameroon   0.6000   4.1294   9.2462
Cameroon   1.6000   4.0254   9.2323
Cameroon   2.6000   3.9216   9.2156
Cameroon   3.6000   3.8175   9.1955
Cameroon   4.6000   3.7131   9.1732
Cameroon   5.6000   3.6084   9.1482
Cameroon   7.0000   3.4591   9.1061
Cameroon   8.0000   3.3578   9.0868
Cameroon   9.2000   3.2351   9.0634
Cameroon   10.4000   3.1122   9.0406
Cameroon   11.6000   3.0042   9.0073
Cameroon   13.4000   2.9141   8.9514
Cameroon   17.0000   2.8293   8.9189
Cameroon   19.8000   2.7701   8.8189
Cameroon   22.0000   2.6986   8.7414
Cameroon   23.8000   2.5772   8.6931
Cameroon   25.6000   2.4252   8.6444
Cameroon   27.0000   2.2843   8.5976
Cameroon   28.4000   2.1040   8.5010
Cameroon   29.0000   2.0133   8.4368
Cameroon   29.6000   1.9259   8.3838
Cameroon   30.4000   1.7934   8.2605
Cameroon   30.8000   1.7241   8.1884
Cameroon   31.0000   1.6881   8.1482
Canary   0.0000   27.9292   -17.9700
Canary   0.2000   27.9413   -17.9721
Canary   2.8000   28.0153   -18.0290
Canary   5.6000   28.0802   -18.0359
Canary   8.8000   28.0841   -18.0403
Canary   12.2000   28.0654   -17.9781
Canary   16.2000   28.1612   -17.9390
Canary   20.6000   28.3009   -17.9015
Canary   25.6000   28.3710   -17.7220
Canary   31.0000   28.3127   -17.5328
Canary   37.4000   28.4483   -17.4582
Canary   41.6000   28.4307   -17.6134
Canary   43.4000   28.4452   -17.4980
Canary   46.2000   28.5017   -17.2712
Canary   47.4000   28.5423   -17.1657
Canary   48.4000   28.5919   -17.0638
Canary   49.2000   28.6509   -16.9685
Canary   50.0000   28.7239   -16.8709
Canary   51.0000   28.8417   -16.7460
Canary   53.4000   28.7825   -16.6533
Canary   55.6000   28.7033   -16.5813
Canary   57.6000   28.5762   -16.5696
Canary   59.2000   28.4914   -16.6286
Canary   60.8000   28.4263   -16.7872
Canary   62.0000   28.3585   -16.8583
Canary   63.0000   28.2906   -16.9363
Canary   64.0000   28.1775   -17.0148
Canary   64.8000   28.0471   -17.0499
Canary   65.0000   28.0056   -17.0522
Cape_Verde   0.0000   15.0330   -23.9314
Cape_Verde   1.0000   15.0639   -23.8652
Cape_Verde   1.6000   15.1097   -23.7702
Cape_Verde   3.0000   15.1793   -23.6131
Cape_Verde   4.0000   15.2188   -23.5140
Cape_Verde   4.8000   15.2582   -23.4162
Cape_Verde   6.4000   15.3177   -23.2443
Cape_Verde   7.4000   15.3471   -23.1428
Cape_Verde   8.4000   15.3755   -23.0343
Cape_Verde   9.6000   15.4014   -22.9012
Cape_Verde   10.4000   15.4310   -22.7787
Cape_Verde   12.2000   15.5045   -22.6604
Cape_Verde   13.6000   15.6145   -22.5560
Cape_Verde   14.8000   15.7151   -22.5516
Cape_Verde   16.2000   15.7969   -22.7037
Cape_Verde   17.2000   15.8564   -22.8772
Cape_Verde   17.8000   15.8642   -23.0096
Cape_Verde   18.2000   15.8809   -23.1136
Cape_Verde   18.6000   15.8875   -23.2273
Cape_Verde   19.0000   15.8839   -23.3342
Cape_Verde   19.8000   15.8485   -23.5219
Cape_Verde   20.0000   15.8340   -23.5635
Caroline   0.0000   5.0806   163.9780
Caroline   0.6000   5.0316   164.0150
Caroline   1.0000   5.0139   163.9088
Caroline   2.0000   4.9427   163.8285
Caroline   2.6000   4.9050   163.6998
Caroline   3.2000   4.8641   163.5827
Caroline   3.8000   4.8209   163.4684
Caroline   4.4000   4.7655   163.3768
Caroline   5.0000   4.7104   163.2926
Caroline   5.6000   4.6495   163.1881
Caroline   6.2000   4.5828   163.0790
Caroline   6.6000   4.5398   162.9451
Caroline   6.8000   4.5153   162.8384
Caroline   7.4000   4.4384   162.7674
Caroline   7.8000   4.3825   162.6827
