PA,HS,PA-HS motions for the last 67.7 Ma from Koivisto 2014,,,,,,,,,,,,
lat,lon,rot,rot_rate,start_age,stop_age,s1start_age,s1stop_age,vxx,vyy,vzz,vxy,vxz,vyz,source
66.97,-73.05,9.43,0.8651376147,0,10.9,0,0,0.0003754,0.0001552,0.0001735,0.00015,-0.0000513,-0.0000695,0
70.17,-75.41,17.47,0.8691542289,0,20.1,0,0,0.0003733,0.0001474,0.0001833,0.0001496,-0.0000466,-0.0000559,0
67.72,-73.15,26.58,0.7934328358,0,33.5,0,0,0.0003095,0.000154,0.0001683,0.0001242,-0.0000114,-0.0000529,0
66.76,-67.01,29.91,0.7610687023,0,39.3,0,0,0.0003219,0.0001581,0.0001601,0.0001261,-0.0000143,-0.0000561,0
64.55,-67.95,34.29,0.7158663883,0,47.9,0,0,0.0002132,0.000183,0.0001045,0.0000538,-0.0000011,-0.0000524,0
56.16,-74.08,38.04,0.6780748663,0,56.1,0,0,0.0003281,0.0002257,0.000131,0.0000894,-0.0000198,-0.0000382,0
51.01,-76.67,41.74,0.6165435746,0,67.7,0,0,0.0003485,0.0002618,0.0001682,0.0001071,-0.0000036,-0.0000207,0
